"entidad","year","pib_total","pib_primarias","pib_secundarias","pib_terciarias","pib_salud","pib_educacion"
"Aguascalientes","2015",198220.641,8007.901,83610.493,106602.247,4689.131,7822.782
"Baja California","2015",511459.528,14860.531,196397.434,300201.563,9767.583,19217.131
"Baja California Sur","2015",130520.642,4938.918,38119.975,87461.749,2629.232,4608.226
"Campeche","2015",637604.643,4905.284,554527.4,78171.959,2486.936,5741.933
"Coahuila de Zaragoza","2015",563928.44,13680.923,287540.723,262706.794,8675.052,15875.049
"Colima","2015",95878.066,4374.565,25264.256,66239.245,2238.491,4790.243
"Chiapas","2015",287811.831,19706.462,76366.744,191738.625,8813.639,24167.396
"Chihuahua","2015",510642.914,32658.72,200746.414,277237.78,9803.07,19135.49
"Ciudad de México","2015",2869792.908,1187.927,284173.646,2584431.335,80581.216,90255.317
"Durango","2015",192888.101,18818.344,59031.053,115038.704,4378.968,10909.656
"Guanajuato","2015",653849.926,23084.637,245761.472,385003.817,16562.439,23524.408
"Guerrero","2015",229580.566,11448.252,42404.697,175727.617,7153.58,16329.093
"Hidalgo","2015",258695.052,10541.935,88010.897,160142.22,5720.215,14738.029
"Jalisco","2015",1104884.87,62310.448,355392.876,687181.546,21633.844,38275.3
"México","2015",1445183.505,21386.248,377591.893,1046205.364,39524.86,73206.303
"Michoacán de Ocampo","2015",386038.362,42818.867,70765.092,272454.403,8740.638,26443.171
"Morelos","2015",187472.397,5384.508,55625.861,126462.028,5704.663,9731.022
"Nayarit","2015",114062.999,7179.88,24290.908,82592.211,2778.244,6614.374
"Nuevo León","2015",1228082.513,6353.505,449083.913,772645.095,19298.083,31186.909
"Oaxaca","2015",260612.907,14446.317,72004.421,174162.169,5964.844,20228.534
"Puebla","2015",540604.128,24075.282,178423.51,338105.336,12138.725,29708.341
"Querétaro","2015",362418.911,9083.603,143100.898,210234.41,5143.54,12025.977
"Quintana Roo","2015",244081.496,1969.224,26634.507,215477.765,4988.97,7485.569
"San Luis Potosí","2015",329359.358,12718.868,126859.641,189780.849,6687.244,15755.409
"Sinaloa","2015",358848.314,42047.079,72821.104,243980.131,7170.514,20550.107
"Sonora","2015",549606.823,33468.708,248732.175,267405.94,9543.774,16844.853
"Tabasco","2015",562212.305,7666.25,381719.803,172826.252,8320.131,13264.017
"Tamaulipas","2015",492586.952,16039.126,188856.178,287691.648,11695.16,20535.171
